ID,Nombre,Categoría,Precio,Stock Total,Detalle Variaciones
1710,"Balón 60 - 62 Fútbol de salón Colores surtidos","Accesorios Deportivos Futsal - Balones Futsal",60000,64,"[Variedad de Colores: Cualquier color: 64]"
9282,"Zapatilla World - Londres","Londres - World",130000,1041,"[Color: Verde Jade Tallas: 42: 12] | [Color: Verde Jade Tallas: 41: 0] | [Color: Verde Jade Tallas: 40: 72] | [Color: Verde Jade Tallas: 39: 66] | [Color: Verde Jade Tallas: 38: 66] | [Color: Verde Jade Tallas: 37: 33] | [Color: Verde Jade Tallas: 36: 22] | [Color: Verde Jade Tallas: 35: 26] | [Color: Verde Jade Tallas: 34: 9] | [Color: Negro Tallas: 42: 3] | [Color: Negro Tallas: 41: 1] | [Color: Negro Tallas: 40: 75] | [Color: Negro Tallas: 39: 83] | [Color: Negro Tallas: 38: 86] | [Color: Negro Tallas: 37: 28] | [Color: Negro Tallas: 36: 24] | [Color: Negro Tallas: 35: 25] | [Color: Negro Tallas: 34: 9] | [Color: Blanco + Azul Tallas: 42: 12] | [Color: Blanco + Azul Tallas: 41: 9] | [Color: Blanco + Azul Tallas: 40: 79] | [Color: Blanco + Azul Tallas: 39: 92] | [Color: Blanco + Azul Tallas: 38: 100] | [Color: Blanco + Azul Tallas: 37: 42] | [Color: Blanco + Azul Tallas: 36: 25] | [Color: Blanco + Azul Tallas: 35: 29] | [Color: Blanco + Azul Tallas: 34: 13]"
9011,"Zapatilla World Tokio - Azul + Verde","Tokio - World - Zapatillas Nacionales",170000,90,"[Color: Azul + Verde Tallas: 42: 23] | [Color: Azul + Verde Tallas: 41: 3] | [Color: Azul + Verde Tallas: 40: 20] | [Color: Azul + Verde Tallas: 39: 0] | [Color: Azul + Verde Tallas: 38: 11] | [Color: Azul + Verde Tallas: 37: 0] | [Color: Azul + Verde Tallas: 36: 23] | [Color: Azul + Verde Tallas: 35: 0] | [Color: Azul + Verde Tallas: 34: 10]"
8814,"Zapatilla Roma -  Rojo","Roma - World",180000,321,"[Color: Rojo Tallas: 42: 10] | [Color: Rojo Tallas: 41: 23] | [Color: Rojo Tallas: 40: 72] | [Color: Rojo Tallas: 39: 58] | [Color: Rojo Tallas: 38: 69] | [Color: Rojo Tallas: 37: 16] | [Color: Rojo Tallas: 36: 28] | [Color: Rojo Tallas: 35: 33] | [Color: Rojo Tallas: 34: 12]"
8804,"Zapatilla Roma -  Blanco + Azul","Roma - World",180000,206,"[Color: Blanco + Azul Tallas: 42: 5] | [Color: Blanco + Azul Tallas: 41: 16] | [Color: Blanco + Azul Tallas: 40: 48] | [Color: Blanco + Azul Tallas: 39: 39] | [Color: Blanco + Azul Tallas: 38: 52] | [Color: Blanco + Azul Tallas: 37: 3] | [Color: Blanco + Azul Tallas: 36: 4] | [Color: Blanco + Azul Tallas: 35: 28] | [Color: Blanco + Azul Tallas: 34: 11]"
8764,"Zapatilla Roma - Verde Neón","Roma - World",180000,120,"[Color: Verde Neon Tallas: 42: 4] | [Color: Verde Neon Tallas: 41: 5] | [Color: Verde Neon Tallas: 40: 27] | [Color: Verde Neon Tallas: 39: 16] | [Color: Verde Neon Tallas: 38: 34] | [Color: Verde Neon Tallas: 37: 0] | [Color: Verde Neon Tallas: 36: 10] | [Color: Verde Neon Tallas: 35: 22] | [Color: Verde Neon Tallas: 34: 2]"
8733,"Zapatilla Roma - Azul + Verde","Roma - World",180000,89,"[Color: Azul + Verde Tallas: 42: 0] | [Color: Azul + Verde Tallas: 41: 3] | [Color: Azul + Verde Tallas: 40: 20] | [Color: Azul + Verde Tallas: 39: 9] | [Color: Azul + Verde Tallas: 38: 14] | [Color: Azul + Verde Tallas: 37: 7] | [Color: Azul + Verde Tallas: 36: 9] | [Color: Azul + Verde Tallas: 35: 21] | [Color: Azul + Verde Tallas: 34: 6]"
6982,"Zapatilla World- Kids Blanco+ Azul","Kids - World - Zapatillas Nacionales",94990,17,"[Color: Blanco + Azul Tallas: 33: 17] | [Color: Blanco + Azul Tallas: 32: 0] | [Color: Blanco + Azul Tallas: 31: 0] | [Color: Blanco + Azul Tallas: 30: 0] | [Color: Blanco + Azul Tallas: 29: 0] | [Color: Blanco + Azul Tallas: 28: 0] | [Color: Blanco + Azul Tallas: 27: 0] | [Color: Blanco + Azul Tallas: 26: 0]"
6972,"Zapatilla World- Kids Negro + Neón","Kids - World - Zapatillas Nacionales",94990,54,"[Color: negro-neon Tallas: 33: 38] | [Color: negro-neon Tallas: 32: 16] | [Color: negro-neon Tallas: 31: 0] | [Color: negro-neon Tallas: 30: 0] | [Color: negro-neon Tallas: 29: 0] | [Color: negro-neon Tallas: 28: 0] | [Color: negro-neon Tallas: 27: 0] | [Color: negro-neon Tallas: 26: 0]"
6942,"Zapatilla World- Kids Rojo","Kids - World - Zapatillas Nacionales",94990,94,"[Color: Rojo Tallas: 33: 42] | [Color: Rojo Tallas: 32: 41] | [Color: Rojo Tallas: 31: 11] | [Color: Rojo Tallas: 30: 0] | [Color: Rojo Tallas: 29: 0] | [Color: Rojo Tallas: 28: 0] | [Color: Rojo Tallas: 27: 0] | [Color: Rojo Tallas: 26: 0]"
6923,"Zapatilla World Tokio - Negro + azul","Tokio - World - Zapatillas Nacionales",170000,Variable,"[Color: Negro + Azul Tallas: 42: 0] | [Color: Negro + Azul Tallas: 41: 0] | [Color: Negro + Azul Tallas: 40: 0] | [Color: Negro + Azul Tallas: 39: 0] | [Color: Negro + Azul Tallas: 38: 0] | [Color: Negro + Azul Tallas: 37: 0] | [Color: Negro + Azul Tallas: 36: 0] | [Color: Negro + Azul Tallas: 35: 0] | [Color: Negro + Azul Tallas: 34: 0]"
6527,"Petos Deportivos para entrenar","Accesorios Deportivos Futsal",35000,Variable,"[Tallas: XS Color: Morado: 0] | [Tallas: XS Color: Colombia: 0] | [Tallas: XS Color: Azul menta: 0] | [Tallas: XS Color: Chispas: 0] | [Tallas: XL Color: Morado: 0] | [Tallas: XL Color: Colombia: 0] | [Tallas: XL Color: Azul menta: 0] | [Tallas: XL Color: Chispas: 0] | [Tallas: S Color: Morado: 0] | [Tallas: S Color: Colombia: 0] | [Tallas: S Color: Azul menta: 0] | [Tallas: S Color: Chispas: 0] | [Tallas: M Color: Morado: 0] | [Tallas: M Color: Colombia: 0] | [Tallas: M Color: Azul menta: 0] | [Tallas: M Color: Chispas: 0] | [Tallas: L Color: Morado: 0] | [Tallas: L Color: Colombia: 0] | [Tallas: L Color: Azul menta: 0] | [Tallas: L Color: Chispas: 0] | [Tallas: 8 Color: Morado: 0] | [Tallas: 8 Color: Colombia: 0] | [Tallas: 8 Color: Azul menta: 0] | [Tallas: 8 Color: Chispas: 0] | [Tallas: 16 Color: Morado: 0] | [Tallas: 16 Color: Colombia: 0] | [Tallas: 16 Color: Azul menta: 0] | [Tallas: 16 Color: Chispas: 0] | [Tallas: 14 Color: Morado: 0] | [Tallas: 14 Color: Colombia: 0] | [Tallas: 14 Color: Azul menta: 0] | [Tallas: 14 Color: Chispas: 0] | [Tallas: 10 Color: Morado: 0] | [Tallas: 10 Color: Colombia: 0] | [Tallas: 10 Color: Azul menta: 0] | [Tallas: 10 Color: Chispas: 0]"
6436,"Guantes Profesionales de Futsal","Accesorios Deportivos Futsal",100000,18,"[Tallas: 9 Color: Blanco + Negro: 0] | [Tallas: 8 Color: Blanco + Negro: 0] | [Tallas: 10 Color: Blanco + Negro: 18]"
4289,"Maletín Saprix","Accesorios Deportivos Futsal - Maleta Deportiva",55000,67,"[Color: Naranja: 8] | [Color: Negro: 21] | [Color: Verde Neon: 15] | [Color: Azul Rey: 23]"
4276,"Guayera Deportiva","Accesorios Deportivos Futsal - Guayeras - Maleta Deportiva",43000,79,"[Color: Naranja: 15] | [Color: Verde Neon: 18] | [Color: Negro: 25] | [Color: Azul Rey: 21]"
3944,"Media Técnica - Antideslizante","Medias Futsal - Ropa Deportiva Futsal - Técnica",22000,Variable,"[Color: Verde Neon Tallas: 10-12: 0] | [Color: Rojo Tallas: 10-12: 0] | [Color: Negro Tallas: 10-12: 0] | [Color: Blanco + Negro Tallas: 10-12: 0] | [Color: Azul Rey Tallas: 10-12: 0]"
3929,"Media Pernera","Clásicas - Medias Futsal - Ropa Deportiva Futsal",18000,Variable,"[Color: Negro Tallas: 10-12: 0] | [Color: Blanco + Rojo Tallas: 10-12: 0] | [Color: Blanco + Negro Tallas: 10-12: 0] | [Color: Blanco + Azul Tallas: 10-12: 0]"
3912,"Media Futbolera Clásica","Clásicas - Medias Futsal - Ropa Deportiva Futsal",20000,Variable,"[Color: Negro Tallas: 10-12: 0] | [Color: Blanco Tallas: 10-12: 0]"
